Sample,Grain,Elevation ,Corr_Date,eU,eU_unc,Corr_date_unc,r,Mass,length,FT,U,Th,Sm,He ,Raw_date
PP2084,z01,2084,616.4,145.3,29.06,9.7,90.3,36.1,469.2,0.9,127.8,74.5,4.1,444.3,540.4
PP2084,z02,2084,624.7,282.1,56.42,17.4,87.8,36.2,537.1,0.9,253,124,0.8,872.2,546.1
PP2084,z05,2084,223,393.8,78.76,3.7,112.6,57.9,528.5,0.9,380.4,57.3,5.7,433.5,200.5
PP2084,z23,2084,622.1,112.4,22.48,10.1,101.4,17.9,306,0.9,102.2,43.5,1.3,353.8,555.3
PP2084,z31,2084,695.4,128.1,25.62,9.7,37,1.2,178.9,0.7,118.5,40.9,3.9,367.2,507.4
PP2084,z32,2084,312.9,151.5,30.3,8.2,118.9,32.2,430.5,0.9,144,31.8,4.1,237.6,283.6
PP2084,z33,2084,81.6,658.9,131.78,1.6,132.8,40.9,378,0.9,595.7,268.8,9.8,266.3,74.5
PP2084,z36,2084,197.3,1289.4,257.88,3.6,84.5,24.9,569.6,0.9,1235.4,229.8,10.9,1208.5,171.3
PP2479,z1,2479,699.3,126.6,25.32,8.6,54.9,7.6,296.2,0.8,106,87.7,2.3,401.1,559.6
PP2479,z2,2479,685.9,210,42,8.1,43.3,4.6,254.6,0.7,178.2,135.1,0,609.6,515
PP2479,z3,2479,477.7,485,97,5.7,30.1,1.3,167.5,0.6,410.2,318.3,0,824.8,307.2
PP2479,z4,2479,432.5,494.4,98.88,5.6,44.1,3.5,207.5,0.7,374.8,508.9,7.7,882.8,322.4
PP2479,z5,2479,600.4,483.9,96.78,6.3,41.2,3.6,250.5,0.7,388.9,404.4,21.8,1193.4,440.6
PP2907,z1,2907,574.9,324.4,64.88,8,66.9,14.4,376.7,0.8,284.2,170.8,12.4,875.6,479.9
PP2907,z2,2907,226.5,834.5,166.9,3.6,94.6,32.2,412.4,0.9,707.6,540.1,8.6,910.7,198.9
PP2907,z3,2907,103,1954.8,390.96,1.5,67.3,12.3,314.8,0.8,1665.4,1231.4,15.8,907,85.4
PP2907,z21,2907,283.3,512.5,102.5,3.8,49.6,2.3,192.7,0.8,376.7,577.9,12.5,555.6,197.7
PP2907,z17,2907,243.2,459.8,91.96,3.6,75.5,7.1,215.8,0.8,399.9,255,9.2,523.2,207.3
PP2907,z27,2907,354.3,370,74,7.3,59.7,4,225.6,0.8,325.4,190,16.6,593.8,290.2
PP3597,z1,3597,761.6,61.4,12.28,18.1,49.1,7.6,358,0.8,52.3,38.7,0.5,206.9,593.1
PP3597,z2,3597,341.1,537.9,107.58,5.7,72.3,16.6,369.2,0.8,480.2,245.4,5,856.6,288
PP3597,z3,3597,172.9,942.4,188.48,2.8,71.8,16.4,365.8,0.8,827.3,489.9,3.7,748.1,145.4
PP3971,z2,3971,120.8,1014.7,202.94,1.6,103.2,21.4,342.4,0.9,911.9,437.1,5.5,568.5,103
PP3971,z6,3971,140.2,885.2,177.04,3.4,118.3,28.7,202.2,0.9,804.6,343,18,590.9,122.5
PP3971,z8,3971,476,323,64.6,8.3,110.2,27.6,354.5,0.9,305.9,72.8,1.4,738,408.4
PP3971,z15,3971,762.8,177.6,35.52,13.4,60.4,5.2,263.8,0.8,161.3,69.5,0,598.4,592.3
PP3971,z20,3971,109.8,1414.3,282.86,4.2,111.6,27.4,442.5,0.9,1206,886.4,46.1,729.7,94.9
PP4297,z1,4297,639.3,186,37.2,12.3,102.9,45.3,491.6,0.9,165.8,85.9,3.1,601.9,570.4
PP4297,z2,4297,613,92.7,18.54,19.5,66.4,12.3,270,0.8,78,62.7,2.9,267.1,511.1
PP4297,z3,4297,414.7,802.5,160.5,6.3,43.1,3.6,221.2,0.7,630.8,731,3.7,1363.8,307.2
PP4297,z4,4297,361.7,503.4,100.68,5.4,42.9,4,221,0.7,439.9,270.3,0,744.6,268.1
PP4297,z5,4297,682.5,50.7,10.14,10.7,61.8,10.6,321,0.8,38.1,53.6,0,160,558.6